Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
12/E1,NB,I,0.659,0.659,0.659
12/E1,NB,II,0.824,0.873,0.848
12/E2,NB,I+II,0.757,0.794,0.775
12/E2,NB,I,0.812,0.778,0.794
12/E2,NB,II,0.713,0.759,0.735
12/E3,NB,I+II,0.703,0.75,0.726
12/E3,NB,I,0.676,0.59,0.63
12/E3,NB,II,0.701,0.831,0.761
12/F1,NB,I+II,0.736,0.779,0.757
12/F1,NB,I,0.667,0.667,0.667
12/F1,NB,II,0.784,0.851,0.816
12/G1,NB,I+II,0.723,0.785,0.753
12/G1,NB,I,0.667,0.6,0.632
12/G1,NB,II,0.773,0.795,0.784
12/G2,NB,I+II,0.662,0.703,0.682
12/G2,NB,I,0.682,0.789,0.732
12/G2,NB,II,0.75,0.733,0.742
12/H1,NB,I+II,0.581,0.486,0.529
12/H1,NB,I,0.5,0.467,0.483
12/H1,NB,II,0.313,0.227,0.263
12/H2,NB,I+II,0.6,0.553,0.575
12/H2,NB,I,0.692,0.6,0.643
12/H2,NB,II,0.591,0.565,0.578
12/H3,NB,I+II,0.63,0.663,0.646
12/H3,NB,I,0.533,0.444,0.485
12/H3,NB,II,0.709,0.727,0.718
13/A1,NB,I+II,0.693,0.749,0.72
13/A1,NB,I,0.748,0.701,0.724
13/A1,NB,II,0.708,0.767,0.736
13/A2,NB,I+II,0.659,0.629,0.644
13/A2,NB,I,0.611,0.63,0.62
13/A2,NB,II,0.567,0.515,0.54
13/A3,NB,I+II,0.689,0.759,0.722
13/A3,NB,I,0.605,0.639,0.622
13/A3,NB,II,0.663,0.736,0.697
13/A4,NB,I+II,0.71,0.786,0.746
13/A4,NB,I,0.779,0.801,0.79
13/A4,NB,II,0.725,0.777,0.751
13/A5,NB,I+II,0.557,0.642,0.596
13/A5,NB,I,0.688,0.647,0.667
13/A5,NB,II,0.541,0.556,0.548
13/B1,NB,I+II,0.723,0.757,0.74
13/B1,NB,I,0.696,0.738,0.716
13/B1,NB,II,0.688,0.745,0.715
13/B2,NB,I+II,0.847,0.841,0.844
13/B2,NB,I,0.794,0.862,0.827
13/B2,NB,II,0.847,0.818,0.832
13/B3,NB,I+II,0.784,0.838,0.81
13/B3,NB,I,0.872,0.81,0.84
13/B3,NB,II,0.828,0.875,0.851
13/B4,NB,I+II,0.613,0.607,0.61
13/B4,NB,I,0.564,0.55,0.557
13/B4,NB,II,0.647,0.657,0.652
13/B5,NB,I+II,0.718,0.737,0.727
13/B5,NB,I,0.615,0.571,0.593
13/B5,NB,II,0.72,0.75,0.735
13/C1,NB,I+II,0.688,0.713,0.7
13/C1,NB,I,0.674,0.707,0.69
13/C1,NB,II,0.608,0.672,0.638
13/D1,NB,I+II,0.76,0.787,0.773
13/D1,NB,I,0.817,0.77,0.793
13/D1,NB,II,0.755,0.806,0.78
13/D2,NB,I+II,0.69,0.741,0.714
13/D2,NB,I,0.694,0.694,0.694
13/D2,NB,II,0.658,0.694,0.676
13/D3,NB,I+II,0.755,0.819,0.786
13/D3,NB,I,0.643,0.667,0.655
13/D3,NB,II,0.781,0.851,0.814
13/D4,NB,I+II,0.704,0.704,0.704
13/D4,NB,I,0.667,0.71,0.688
13/D4,NB,II,0.649,0.685,0.667
14/A1,NB,I+II,0.711,0.792,0.749
14/A1,NB,I,0.724,0.677,0.7
14/A1,NB,II,0.667,0.797,0.726
14/A2,NB,I+II,0.763,0.789,0.776
14/A2,NB,I,0.766,0.72,0.742
14/A2,NB,II,0.747,0.763,0.755
14/B1,NB,I+II,0.7,0.729,0.714
14/B1,NB,I,0.538,0.467,0.5
14/B1,NB,II,0.727,0.816,0.769
14/B2,NB,I+II,0.524,0.551,0.538
14/B2,NB,I,0.5,0.429,0.462
14/B2,NB,II,0.525,0.561,0.542
14/C1,NB,I+II,0.873,0.903,0.888
14/C1,NB,I,0.838,0.824,0.831
14/C1,NB,II,0.875,0.912,0.893
14/C2,NB,I+II,0.864,0.879,0.871
14/C2,NB,I,0.778,0.792,0.785
14/C2,NB,II,0.889,0.917,0.903
14/D1,NB,I+II,0.789,0.793,0.791
14/D1,NB,I,0.765,0.813,0.788
14/D1,NB,II,0.82,0.82,0.82
