@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
16,1.6,37,450,12.162162,0.432432,10,M,Si
6,0.461538,14,156,11.142857,0.428571,13,M,Si
7,1,88,585,6.647727,0.079545,7,M,Si
10,2,29,161,5.551724,0.344828,5,M,Si
14,1.75,15,197,13.133333,0.933333,8,M,Si
9,0.692308,20,305,15.25,0.45,13,F,Si
7,1.166667,11,83,7.545455,0.636364,6,F,Si
20,2,46,327,7.108696,0.434783,10,M,Si
7,?,27,115,4.259259,0.259259,?,F,Si
4,0.666667,5,36,7.2,0.8,6,F,Si
5,0.555556,10,124,12.4,0.5,9,M,Si
8,1,17,167,9.823529,0.470588,8,M,Si
17,2.428571,53,529,9.981132,0.320755,7,F,Si
17,1.7,22,311,14.136364,0.772727,10,F,Si
6,0.428571,14,207,14.785714,0.428571,14,M,Si
6,0.666667,13,94,7.230769,0.461538,9,F,Si
4,?,31,128,4.129032,0.129032,?,M,Si
18,2,51,626,12.27451,0.352941,9,M,Si
21,2.333333,48,638,13.291667,0.4375,9,F,Si
6,0.375,16,251,15.6875,0.375,16,M,Si
7,?,16,55,3.4375,0.4375,?,M,Si
9,4.5,18,20,1.111111,0.5,2,M,Si
12,6,19,49,2.578947,0.631579,2,M,No
17,3.4,27,145,5.37037,0.62963,5,M,No
13,1.444444,20,275,13.75,0.65,9,F,No
28,1.647059,61,1089,17.852459,0.459016,17,M,No
5,1.25,10,46,4.6,0.5,4,F,No
11,1.222222,17,146,8.588235,0.647059,9,M,No
16,0.941176,22,366,16.636364,0.727273,17,M,No
4,?,35,39,1.114286,0.114286,?,M,No
11,2.75,38,118,3.105263,0.289474,4,M,No
17,1.7,24,367,15.291667,0.708333,10,F,No
18,6,50,3,0.06,0.36,3,M,No
15,?,34,83,2.441176,0.441176,?,M,No
12,?,26,64,2.461538,0.461538,?,F,No
19,1.1875,27,495,18.333333,0.703704,16,F,No
13,1.857143,42,343,8.166667,0.309524,7,M,No
6,?,22,28,1.272727,0.272727,?,M,No
3,?,29,90,3.103448,0.103448,?,M,No
8,0.888889,31,139,4.483871,0.258065,9,M,No
9,1.5,19,78,4.105263,0.473684,6,M,No
13,13,28,1,0.035714,0.464286,1,F,No
