@relation temp_weka

@attribute h numeric
@attribute h_y numeric
@attribute num_pub numeric
@attribute num_cit numeric
@attribute mean_cit_paper numeric
@attribute h_num_papers numeric
@attribute age numeric
@attribute gender {F,M}
@attribute Abilitato {No,Si}

@data
4,0.363636,14,205,14.642857,0.285714,11,M,Si
10,0.909091,14,213,15.214286,0.714286,11,M,Si
3,0.272727,14,243,17.357143,0.214286,11,F,Si
12,0.8,35,820,23.428571,0.342857,15,M,Si
10,0.47619,37,1041,28.135135,0.27027,21,M,Si
10,0.47619,37,912,24.648649,0.27027,21,M,Si
10,0.769231,12,183,15.25,0.833333,13,M,Si
1,0.2,17,100,5.882353,0.058824,5,M,Si
4,0.363636,15,249,16.6,0.266667,11,M,Si
3,0.333333,12,87,7.25,0.25,9,M,Si
1,0.1,16,261,16.3125,0.0625,10,M,Si
1,0.1,16,181,11.3125,0.0625,10,F,Si
1,0.1,16,192,12,0.0625,10,M,Si
1,0.1,16,118,7.375,0.0625,10,F,Si
16,1.230769,30,509,16.966667,0.533333,13,F,Si
1,0.25,6,17,2.833333,0.166667,4,F,Si
1,0.25,6,35,5.833333,0.166667,4,M,Si
1,0.25,6,20,3.333333,0.166667,4,F,Si
1,0.111111,10,123,12.3,0.1,9,F,Si
2,2,6,1,0.166667,0.333333,1,F,Si
2,2,6,1,0.166667,0.333333,1,F,Si
5,0.454545,39,688,17.641026,0.128205,11,F,Si
10,1.25,21,105,5,0.47619,8,M,Si
8,0.727273,24,255,10.625,0.333333,11,M,Si
9,0.818182,30,422,14.066667,0.3,11,M,Si
4,0.666667,12,48,4,0.333333,6,M,Si
16,2,26,271,10.423077,0.615385,8,M,Si
6,0.461538,14,227,16.214286,0.428571,13,M,Si
6,0.461538,14,156,11.142857,0.428571,13,M,Si
4,0.5,15,167,11.133333,0.266667,8,M,Si
4,0.5,15,114,7.6,0.266667,8,M,Si
4,0.5,15,150,10,0.266667,8,M,Si
20,0.740741,33,918,27.818182,0.606061,27,F,Si
3,0.5,19,104,5.473684,0.157895,6,F,Si
14,1.75,44,365,8.295455,0.318182,8,M,Si
27,0.964286,74,2816,38.054054,0.364865,28,M,Si
6,0.857143,15,163,10.866667,0.4,7,F,Si
6,0.857143,15,122,8.133333,0.4,7,F,Si
9,1.285714,15,176,11.733333,0.6,7,F,Si
5,0.714286,15,131,8.733333,0.333333,7,M,Si
9,2.25,24,124,5.166667,0.375,4,F,Si
9,0.818182,39,305,7.820513,0.230769,11,M,Si
1,0.2,9,77,8.555556,0.111111,5,M,Si
1,0.2,10,57,5.7,0.1,5,M,Si
7,1.166667,11,83,7.545455,0.636364,6,F,Si
2,0.090909,53,1330,25.09434,0.037736,22,M,Si
1,0.166667,11,68,6.181818,0.090909,6,F,Si
9,1.5,11,84,7.636364,0.818182,6,M,Si
1,0.2,4,12,3,0.25,5,M,Si
1,0.2,4,32,8,0.25,5,F,Si
14,1.75,31,201,6.483871,0.451613,8,F,Si
9,0.818182,30,346,11.533333,0.3,11,M,Si
14,1.75,15,197,13.133333,0.933333,8,M,Si
3,1,8,35,4.375,0.375,3,F,Si
6,0.375,13,334,25.692308,0.461538,16,F,Si
2,0.117647,14,270,19.285714,0.142857,17,M,Si
5,0.625,17,165,9.705882,0.294118,8,F,Si
13,1.181818,37,354,9.567568,0.351351,11,F,Si
21,1,73,1355,18.561644,0.287671,21,M,Si
6,0.666667,13,94,7.230769,0.461538,9,F,Si
18,1.636364,35,596,17.028571,0.514286,11,F,Si
17,1.545455,37,498,13.459459,0.459459,11,M,Si
1,0.2,9,55,6.111111,0.111111,5,M,Si
9,2.25,9,44,4.888889,1,4,F,Si
27,1.173913,63,1661,26.365079,0.428571,23,M,Si
9,?,33,9,0.272727,0.272727,?,F,Si
3,0.214286,54,716,13.259259,0.055556,14,M,Si
7,?,41,48,1.170732,0.170732,?,F,Si
11,1,38,511,13.447368,0.289474,11,M,Si
3,?,29,3,0.103448,0.103448,?,F,Si
5,?,27,113,4.185185,0.185185,?,M,Si
12,1.5,25,198,7.92,0.48,8,M,Si
9,1,17,162,9.529412,0.529412,9,M,Si
3,0.3,54,668,12.37037,0.055556,10,M,Si
1,0.2,11,82,7.454545,0.090909,5,M,Si
13,1.3,32,285,8.90625,0.40625,10,M,Si
8,1,37,424,11.459459,0.216216,8,M,Si
