Recr. Field,Bibliometric?,Level,Precision,Recall,F-measure
06/D4,B,II,0.727,0.621,0.670
01/A5,B,II,0.739,0.596,0.660
11/E1,B,II,0.621,0.698,0.657
01/A1,B,II,0.552,0.804,0.655
01/A3,B,II,0.715,0.599,0.652
03/D2,B,II,0.750,0.563,0.643
09/A2,B,II,0.643,0.643,0.643
10/H1,NB,II,0.574,0.722,0.639
13/C1,NB,II,0.620,0.657,0.638
12/H2,NB,II,0.800,0.522,0.632
09/A3,B,II,0.632,0.632,0.632
09/A1,B,II,0.584,0.686,0.631
07/F2,B,II,0.688,0.524,0.595
10/N3,NB,II,0.500,0.721,0.590
07/H4,B,II,0.600,0.563,0.581
07/H1,B,II,0.625,0.536,0.577
07/H2,B,II,0.615,0.533,0.571
07/A1,B,II,0.643,0.514,0.571
13/A5,NB,II,0.594,0.528,0.559
02/B1,B,II,0.685,0.466,0.555
13/A2,NB,II,0.716,0.364,0.482
03/B2,B,II,0.800,0.333,0.471
12/H1,NB,II,0.636,0.318,0.424
14/B2,NB,II,0.462,0.316,0.375
10/D2,NB,II,0.435,0.156,0.230
08/B1,B,II,0.600,0.136,0.222
10/F3,NB,II,0.333,0.103,0.158
07/H5,B,II,0.250,0.067,0.105
05/F1,B,II,1.000,0.017,0.034
07/H3,B,II,0.000,0.000,0.000
02/A2,B,II,0.000,0.000,0.000
02/A1,B,II,0.000,0.000,0.000
06/F3,B,II,0.000,0.000,0.000
