settore05-B2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.790	0.860	0.824
settore05-B2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.742	0.794	0.767
settore10-B1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.779	0.880	0.826
settore10-B1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.787	0.806	0.797
settore10-B1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.774	0.883	0.825
settore09-B1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.741	0.800	0.769
settore09-B1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.600	0.600	0.600
settore09-B1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.533	0.533	0.533
settore13-B1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.706	0.776	0.739
settore13-B1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.706	0.738	0.722
settore13-B1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.669	0.738	0.702
settore05-F1	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.602	0.314	0.413
settore05-F1	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.294	0.152	0.200
settore05-F1	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.670	0.362	0.470
settore06-A2	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.774	0.868	0.818
settore06-A2	I	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.728	0.759	0.743
settore06-A2	II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.797	0.894	0.843
settore06-A3	I+II	1,2,3,5,60,173,186,58,160,175,221,188,176,189,219,4,163,215,216	0.789	0.839	0.813
